ID,average drive,fairways hit,GIR,average putts,sand saves,tournaments played,GIR putts,prize money
1,251,73.8,64.7,29.35,36.5,20,1.79,202624
2,256.7,73.3,69.6,29.71,30.2,20,1.78,385270
3,250.1,65.9,64.1,29.43,32.7,18,1.78,125894
4,252.6,64.5,66.2,30.33,37.5,20,1.84,324460
5,259.2,65.5,62.7,30.26,42.3,16,1.87,37230
6,249.9,74.8,66.2,31.11,27.3,17,1.89,26408
7,252.4,60.2,57.5,28.9,50,21,1.79,86486
8,256.8,71.9,69.1,31.45,43.2,20,1.89,115475
9,245.4,67.3,56.4,29.91,32.5,17,1.87,4328
10,247.9,73.3,61.4,29.96,36.7,11,1.86,43361
11,244.1,73.1,66.2,29.6,37,24,1.81,257299
12,240.3,67.1,58.2,29.69,30.8,16,1.85,47375
13,251.5,70.1,67,30.53,38.6,19,1.81,118302
14,236.5,73.8,53.5,29.73,38.1,16,1.87,2647
15,245.1,74.8,67.4,29.88,30.6,17,1.83,100828
16,243.8,69.7,63.5,29.4,41.9,19,1.82,154984
17,255.5,73.3,71.4,29.54,46.5,26,1.79,1341078
18,241.3,77,66.7,30.25,37.5,20,1.85,126168
19,239.8,72.4,63.1,29.51,41.7,16,1.8,114024
20,248.6,81.1,74.7,29.71,41.5,21,1.79,1151864
21,252,66.7,66.8,30.95,24.4,17,1.87,53551
22,253.1,67.1,65.3,30.73,28.6,19,1.87,35563
23,253.2,47.4,62,29.7,32.1,18,1.8,97681
24,247.6,58.7,60.9,30.6,44.6,21,1.88,68688
25,258.9,63.6,65.4,30.18,31.1,13,1.84,59042
26,256.3,67.5,60.4,30.48,23.7,9,1.85,16678
27,260.6,63.2,68.3,30.61,27.5,21,1.84,131856
28,243.2,72.4,60.6,29.93,45.2,18,1.86,38520
29,247.2,69.3,64.6,29.96,28.6,19,1.83,116529
30,244.2,69.3,62.8,30.73,39.5,17,1.9,14157
31,260.4,71.5,68.3,30.81,36.4,21,1.85,123694
32,249.3,74.6,66.5,30.07,29.8,22,1.84,292266
33,247.8,64.1,59.6,31.14,40,21,1.89,34090
34,252,71.8,64.3,30.23,36.8,20,1.84,128702
35,257.8,65.6,65.3,29.55,42.5,22,1.78,298763
36,238.9,75.3,66.4,31.3,25,9,1.93,9785
37,248.2,72.2,61.6,30.91,23.5,12,1.92,8962
38,241.6,73.6,61,30.14,32.7,18,1.83,65229
39,256.1,68.9,65.5,29.83,35.6,20,1.8,166905
40,249.3,74.3,68.1,29.23,44.6,21,1.77,326392
41,242.3,67.6,64.7,29.56,55,16,1.83,72147
42,268.9,64.4,70.7,30.4,40.8,22,1.81,792359
43,234.2,76.5,61.7,30.94,34.1,17,1.9,17001
44,243,71.9,66.6,29.43,37.1,25,1.77,450197
45,245.9,69.1,67.8,29.07,35.7,14,1.8,104603
46,238.9,80.8,62.8,30.21,33.3,17,1.83,64369
47,249.6,76.6,66.2,30.41,39.3,19,1.87,95909
48,266,68.5,73.2,30.57,37.1,18,1.81,428935
49,245.5,73.3,63.2,29.37,28.6,17,1.84,69412
50,242.5,71.3,61.4,30.24,39.5,17,1.85,18820
51,251.1,70.4,67.3,29.32,41.3,25,1.77,461820
52,247.9,68.1,61.5,29.15,41.3,18,1.77,122442
53,253.4,60,61.9,28.79,45.3,22,1.77,445022
54,261.6,62.6,69.6,30.34,41.9,24,1.81,370873
55,272.5,62.9,69.6,30.42,39.2,21,1.8,305773
56,239.4,66.4,64.2,29.6,42.9,21,1.81,171555
57,249.9,70.5,71.3,31.05,37.9,20,1.85,259339
58,254.1,71.8,63.9,29.7,28.1,11,1.81,24530
59,247.9,71.5,62,29.67,31.3,17,1.83,81586
60,245.8,76.4,67.4,29.71,40.5,24,1.8,937284
61,241.2,64.1,58.3,30.54,28.6,17,1.86,19074
62,242.8,72.1,62.4,28.8,20.5,16,1.79,148048
63,246.4,76.1,68.5,30.73,51.4,24,1.86,214942
64,244.5,68.4,59.6,28.73,44.6,20,1.79,212352
65,254.1,65.8,63.2,29.24,43.8,16,1.79,85469
66,263.7,71.4,74.5,29.68,36.8,25,1.78,1519722
67,242.4,56.2,59.2,30.62,42.1,14,1.89,22927
68,258.9,69.4,66.9,29.88,34.7,24,1.8,344055
69,249.3,74.8,72.2,29.72,46.9,25,1.76,1238396
70,246.6,71.2,62.7,29.5,32.2,19,1.82,74490
71,235.7,83.4,63.9,29.36,37.5,10,1.8,88632
72,254.2,71.9,65.2,29.7,52,15,1.82,90707
73,261.3,73.5,68.1,30.5,33.3,11,1.81,57864
74,257.9,70.3,69.6,28.91,43.2,25,1.75,1032031
75,249.2,68.5,58.9,28.73,54.8,21,1.8,181166
76,242.4,73.9,61.5,30.52,34.5,13,1.86,55855
77,247.7,71,66.9,30.35,47.4,25,1.86,539853
78,263.9,71.5,72.5,30.07,40.3,26,1.81,675065
79,265.3,62.5,65.7,29.69,33.3,25,1.8,358711
80,247.8,68.5,64,31,51.2,17,1.89,8186
81,242.5,78.6,65.3,29.59,38.3,25,1.8,386335
82,248.3,61.2,60.1,28.58,36.4,19,1.8,119507
83,246.8,79.5,68.5,29.4,41.4,25,1.8,458316
84,251.8,70.2,68.7,30.47,41.2,23,1.84,298422
85,272.1,56.2,69.2,30.49,37.8,22,1.82,647147
86,224.4,78.8,64.2,30.09,45.7,14,1.87,58377
87,238.5,62.7,57.3,30.19,42.3,18,1.88,23330
88,240.5,73.9,62.7,29.87,42.9,17,1.82,38755
89,254,71.1,65.7,30.35,40.7,23,1.86,242546
90,262.1,70.5,61.6,31.25,28.6,13,1.91,17944
91,256.7,72.3,70.6,30.17,20.6,16,1.81,140671
92,236.3,73.4,60.4,30.3,56.5,10,1.84,24365
93,253.3,68.7,69.5,29.48,32.4,10,1.77,480678
94,254.3,60,58.4,29.85,29.6,15,1.86,13832
95,256.6,61.7,65,31.41,33.3,19,1.87,84777
96,251.1,77.4,71.3,29.9,46.3,24,1.8,816182
97,254.3,75.7,71.6,29.15,50.8,22,1.76,1517149
98,248.4,75.8,65.6,30.25,31.1,22,1.83,284788
99,252.4,72.1,68.3,31.23,33.3,15,1.9,36338
100,256.1,70.7,69.2,30.14,37,21,1.81,208396
101,239.2,75.6,66.1,30.07,36.5,20,1.83,158113
102,241,72.4,59.8,30.03,27.3,17,1.86,34696
103,245.7,77,69.5,29.21,46.4,17,1.79,871785
104,265.2,71.8,72.2,29.48,36.4,22,1.75,1489395
105,242.5,73.7,68.1,29.98,45.9,25,1.82,558316
106,252.4,67.2,70.5,31.33,26.9,16,1.86,122540
107,249.2,68.9,65.5,30.48,44.4,17,1.85,84791
108,260.1,69.2,69.4,30.6,40.3,24,1.84,447683
109,229.7,61.6,60.4,30.16,40,17,1.84,253391
110,257.6,71.1,66.8,29.73,36.1,25,1.8,666305
111,258.5,59.6,58.8,28.36,46.5,23,1.75,271303
112,245.5,68.4,62.5,29.98,36.5,19,1.82,194856
113,256.8,65.6,68.4,29.7,47.1,18,1.81,137355
114,268.1,66,72.1,29.72,48.4,22,1.77,1369717
115,250.9,59.9,62.8,29.53,46.4,22,1.8,217971
116,240.8,77.2,69,29.43,41.5,24,1.8,630313
117,249.9,68.8,66.6,30,35.4,18,1.85,79102
118,259.9,67.5,66.7,30.76,27.5,18,1.87,86103
119,242.9,70.9,65.3,29.68,43.2,20,1.81,316533
120,255.5,70.1,69.7,30.92,35.6,17,1.83,92832
121,254.1,69.5,68.2,31.03,33.8,22,1.84,181299
122,258.8,70.4,70.2,31,25,21,1.85,122345
123,246.8,82.4,71.4,28.92,44.6,25,1.75,1807334
124,251.2,71.8,61.4,29.36,22.6,15,1.77,39752
125,263.3,69.6,70,30.73,38.1,15,1.83,97085
126,256.4,64.5,67.8,30.8,27,17,1.84,67616
127,231.5,67.3,52.9,29.52,48.1,11,1.86,12941
128,249.4,67.4,66.4,30.76,35.7,17,1.85,95284
129,262.9,72.9,71.6,29.74,41.9,21,1.79,1081916
130,262.4,62.9,60.8,29.8,33.3,16,1.77,41519
131,264.5,62.1,62.1,29.65,50.6,20,1.81,144425
132,249.1,68.9,69.1,30.19,31.5,18,1.82,103908
133,244.3,64.5,59.8,30.07,30.6,17,1.82,36403
134,269.2,65.4,71.7,29.83,39.5,27,1.81,1293755
135,254.9,67.7,66.3,29.56,44.4,18,1.8,416333
136,250,68.2,73.7,30.51,26.7,20,1.82,326395
137,259.5,69.5,72.1,30.34,44.8,20,1.83,968098
138,269.1,58.2,70.2,29.59,42.2,19,1.76,918659
139,251.8,62.4,63.3,30.91,27,17,1.88,24370
140,238.6,67.4,60.5,30.12,58.3,9,1.88,5597
141,237.5,73.8,61.6,30.14,52.9,12,1.88,5750
142,250,73.9,68.7,29.71,40,24,1.8,734742
143,255.9,68.5,69.4,29.92,39,23,1.8,302816
144,249.8,70.1,67.6,30.37,26.3,22,1.83,314600
145,239.8,77.7,62.3,30.89,30.6,17,1.88,11670
146,256.1,74.5,72.4,30.21,31.4,25,1.8,614874
